,artist,title & year,image url,website url,posted
0,Carmézia Emiliano,"Parixara, 2020",https://masp.org.br/uploads/collection/9NjMdNgWbU7DROd6er80Rc1AkpjKbWxP.jpg,https://masp.org.br/acervo/obra/parixara,0.0
1,Carmézia Emiliano," Aprendendo, 2020",https://masp.org.br/uploads/collection/YIehNbRAltwGQKi0eOZOQRTu2E1lIBj1.jpg,https://masp.org.br/acervo/obra/aprendendo,0.0
2,Alex Donis,"Palhaço e Soldado PM Carvalho (Don Quixote), Guerra às drogas SP, 2020",https://masp.org.br/uploads/collection/Pm5PiomSQ2bNZb6plApNov9vVNShFOna.jpg,https://masp.org.br/acervo/obra/palhaco-e-soldado-pm-carvalho-don-quixote-guerra-as-drogas-sp,0.0
3,Pedro Marighella,"Sem título, da série MATA , 2020",https://masp.org.br/uploads/collection/Mf4ci9QyFx0XbW2GsHfePQYn3ftafTHS.jpg,https://masp.org.br/acervo/obra/sem-titulo-da-serie-mata,0.0
4,Ibã Huni Kuin,"Nama Kutã Dança Boa Sonhar, 2020",https://masp.org.br/uploads/collection/AhTJvaDIpBkpWrWDpSZyovxJKDS20S61.jpg,https://masp.org.br/acervo/obra/nama-kuta-danca-boa-sonhar,0.0
5,Ibã Huni Kuin,"Sem título, 2020",https://masp.org.br/uploads/collection/KNGYmCGO6uR841w4HJbBFzrQLjtWeSYH.jpg,https://masp.org.br/acervo/obra/sem-titulo-170,0.0
6,Ibã Huni Kuin,"Sem título, 2020",https://masp.org.br/uploads/collection/vEfT51QspRULZLVEESUdYoLEgulcoDGi.jpg,https://masp.org.br/acervo/obra/sem-titulo-171,0.0
7,Ibã Huni Kuin,"Sem título, 2020",https://masp.org.br/uploads/collection/CdkQLsES6fGrNteVRHZDOMvMWna7rNr3.jpg,https://masp.org.br/acervo/obra/sem-titulo-172,0.0
8,Ibã Huni Kuin,"Sem título , 2020",https://masp.org.br/uploads/collection/qqOZ3XkrKP5eUWEtDwdftjkfUbuexCKS.jpg,https://masp.org.br/acervo/obra/sem-titulo-173,0.0
9,Ibã Huni Kuin,"Sem título , 2020",https://masp.org.br/uploads/collection/ABqnNw9zVaIJ5rttndb9huT5QWbkp2tO.jpg,https://masp.org.br/acervo/obra/sem-titulo-176,0.0
10,Ibã Huni Kuin,"Sem título , 2020",https://masp.org.br/uploads/collection/DWPi8PsYk2RXm3K1jIbHDEiqZfeHIL1s.jpg,https://masp.org.br/acervo/obra/sem-titulo-177,0.0
11,Ibã Huni Kuin,"Sem título , 2020",https://masp.org.br/uploads/collection/WsYUZQZH0FoqtgAjF2JPEdZZpsL1wPWc.jpg,https://masp.org.br/acervo/obra/sem-titulo-178,0.0
12,Ibã Huni Kuin,"Sem título , 2020",https://masp.org.br/uploads/collection/DARNUPgKTMeje5K0wzPdRCli2q8sa608.jpg,https://masp.org.br/acervo/obra/sem-titulo-179,0.0
13,Ibã Huni Kuin,"Sem título , 2020",https://masp.org.br/uploads/collection/8qrjSb6MCFQ7xtkM4zGwdc3mszZCipQ1.jpg,https://masp.org.br/acervo/obra/sem-titulo-180,0.0
14,Ibã Huni Kuin,"Sem título , 2020",https://masp.org.br/uploads/collection/6D8B85TcLWsXVwH0LzzWQJYqvMlwhUxu.jpg,https://masp.org.br/acervo/obra/sem-titulo-181,0.0
15,Ibã Huni Kuin,"Sem título , 2020",https://masp.org.br/uploads/collection/QULI7DKX1aNBWF5fADKSQVhN9ugUhOp7.jpg,https://masp.org.br/acervo/obra/sem-titulo-182,0.0
16,Ibã Huni Kuin,"Sem título , 2020",https://masp.org.br/uploads/collection/JrNV6TqciHGW2UeP2OEXBlyj1hKoTvpa.jpg,https://masp.org.br/acervo/obra/sem-titulo-185,0.0
17,Ibã Huni Kuin,"Sem título, 2017",https://masp.org.br/uploads/collection/nmP1cSapgbvfQqTZwtuNEAr5U9gOLqwB.jpg,https://masp.org.br/acervo/obra/sem-titulo-162,0.0
18,Ibã Huni Kuin,"Sem título, 2017",https://masp.org.br/uploads/collection/NykPzPrq2KjajwiLtqdqPKsndfRMdzSw.jpg,https://masp.org.br/acervo/obra/sem-titulo-167,0.0
19,Ibã Kuni Kuin,"Sem título , 2020",https://masp.org.br/uploads/collection/ajKom9WSYBaRQIdKab2hFVaOMtilYkm2.jpg,https://masp.org.br/acervo/obra/sem-titulo-174,0.0
20,Ibã Huni Kuin,"Sem título , 2020",https://masp.org.br/uploads/collection/entOZaDkB1Rs87Sc5SzYlMbfl4MkaVIS.jpg,https://masp.org.br/acervo/obra/sem-titulo-175,0.0
21,Ibã Huni Kuin,"Dami (Avenida Paulista), 2017",https://masp.org.br/uploads/collection/MeibzGbjLKqYQfYzGzcECPnIZJj8LSER.jpg,https://masp.org.br/acervo/obra/dami-avenida-paulista,0.0
22,Ibã Huni Kuin,"Dami (Avenida Paulista 3), 2017",https://masp.org.br/uploads/collection/xatAYWfPnLaO48EsyEwx3mYd33GwAm0E.jpg,https://masp.org.br/acervo/obra/dami-aveninda-paulista-3,0.0
